Price,Street,Area,City,Type,Bedrooms,Bathrooms,Size(Sq. Ft.),Parking Space,Balcony or Terrace,Double Glazed Windows,Maintenance Staff,View,Pet Policy,Lobby in Building,Family or Bachelor,Rent Year
17000,Section 2, Mirpur, Dhaka,Apartment,3,3,1120,Yes,Yes,Yes,Yes,North,No,Yes,Yes,2017
12000,Goran, Khilgaon, Dhaka,Room,2,2,730,No,No,No,No,North,No,No,Yes,2018
24000,Free School Street, Kathalbagan, Dhaka,Apartment,3,2,1100,Yes,Yes,Yes,Yes,East,Yes,Yes,Yes,2018
13720,Donia, Jatra Bari, Dhaka,Room,2,2,930,No,No,Yes,Yes,East,No,No,Yes,2017
32000,Sector 6, Uttara, Dhaka,Duplex,4,4,1965,Yes,Yes,Yes,No,East,No,Yes,Yes,2018
25000,Block G, Banasree, Dhaka,Apartment,3,3,1200,No,No,Yes,Yes,West,No,No,Yes,2016
17000,East Rampura, Rampura, Dhaka,Apartment,2,2,1000,No,Yes,Yes,Yes,North,Yes,Yes,Yes,2017
16000,South Badda, Badda, Dhaka,Apartment,3,2,1000,Yes,Yes,Yes,Yes,North,No,Yes,Yes,2018
15000,Kawlar, Dakshin Khan, Dhaka,Room,3,3,850,Yes,Yes,Yes,Yes,North,No,No,Yes,2018
25000,Mohonpur Road, Shyamoli, Dhaka,Apartment,3,2,1500,No,No,No,No,North,No,Yes,Yes,2016
12000,Kawlar, Dakshin Khan, Dhaka,Room,3,3,850,Yes,Yes,Yes,Yes,North,No,No,Yes,2017
12000,Kawlar, Dakshin Khan, Dhaka,Room,3,3,850,No,No,No,No,North,No,No,Yes,2017
14000,Shantinagar Bazar Rd, Shantinagar, Dhaka,Room,2,1,600,Yes,No,No,Yes,North,No,Yes,Yes,2017
40000,Sector 7, Uttara, Dhaka,Duplex,3,4,1650,No,Yes,Yes,No,North,Yes,No,Yes,2017
9000,Dakhshin Para, Mohakhali, Dhaka,Room,1,1,360,No,No,Yes,No,East,No,No,No,2017
17000,East Rampura, Rampura, Dhaka,Apartment,3,2,1200,Yes,No,No,No,East,No,No,Yes,2017
8000,East Rampura, Rampura, Dhaka,Room,1,1,600,Yes,No,Yes,No,North,No,No,Yes,2018
11000,Naya Nagar, Khilkhet, Dhaka,Room,2,2,800,No,No,No,Yes,North,No,No,Yes,2016
16000,East Monipur, Mirpur, Dhaka,Apartment,3,3,1350,Yes,No,Yes,Yes,North,No,Yes,Yes,2016
13000,Section 10, Mirpur, Dhaka,Room,2,2,990,No,Yes,No,No,North,No,No,Yes,2017
25000,Sector 3, Uttara, Dhaka,Apartment,3,3,1350,Yes,No,No,No,North,No,Yes,Yes,2017
17000,Sector 10, Uttara, Dhaka,Apartment,3,3,1400,No,Yes,Yes,Yes,East,No,No,Yes,2016
18000,Sector 10, Uttara, Dhaka,Apartment,3,4,1450,No,No,Yes,No,North,No,Yes,Yes,2017
14000,Block G, Banasree, Dhaka,Apartment,3,2,1000,Yes,Yes,No,No,South,No,Yes,Yes,2018
20000,Sector 6, Uttara, Dhaka,Apartment,2,2,1100,Yes,Yes,Yes,No,North,No,Yes,Yes,2016
